CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
4,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention
32,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention,3-Retention,3-Retention
3,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention,3-Retention
1,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention,3-Retention,3-Retention
584,2-Onboarding,3-Retention,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
46,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer,3-Retention
1,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active Customer,2-Onboarding
26,3-Retention,3-Retention,4-Winback,4-Winback,3-Retention,3-Retention
1,3-Retention,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
1612,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding
208,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,3-Retention
8,3-Retention,4-Winback,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer
728,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
15,3-Retention,3-Retention,3-Retention,4-Winback,1-Active Customer,2-Onboarding
1321,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer,3-Retention
6,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
1,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding
110,1-Active Customer,1-Active Customer,3-Retention,3-Retention,1-Active Customer,3-Retention
759,3-Retention,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention
285,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention
255,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
3,3-Retention,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
18,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
3533,4-Winback,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
306,4-Winback,4-Winback,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding
21100,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
21,2-Onboarding,3-Retention,1-Active Customer,3-Retention,3-Retention,3-Retention
1475,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding
976,1-Active Customer,1-Active Customer,3-Retention,3-Retention,3-Retention,1-Active Customer
6,1-Active Customer,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
2,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention
1,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention,1-Active Customer
1,2-Onboarding,1-Active Customer,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer
1,4-Winback,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
347,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention
58,3-Retention,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention
1,3-Retention,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
457,2-Onboarding,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
13,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention
5,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
101,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
100,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention
9,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding,3-Retention,3-Retention
2,1-Active Customer,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,1-Active Customer
1574,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
34,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
40,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding
7,4-Winback,4-Winback,3-Retention,2-Onboarding,2-Onboarding,2-Onboarding
10,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
4,4-Winback,4-Winback,3-Retention,1-Active Customer,2-Onboarding,2-Onboarding
56,3-Retention,1-Active Customer,1-Active Customer,3-Retention,3-Retention,1-Active Customer
24,4-Winback,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention
764,1-Active Customer,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer
1416,3-Retention,3-Retention,3-Retention,4-Winback,4-Winback,2-Onboarding
1,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention,2-Onboarding,1-Active Customer
70,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention,1-Active Customer
3,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer
1682,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer
40,4-Winback,4-Winback,4-Winback,4-Winback,3-Retention,1-Active Customer
108,4-Winback,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer
668,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention,1-Active Customer
4151,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer
636,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,1-Active Customer
1,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,3-Retention
4490,4-Winback,4-Winback,4-Winback,4-Winback,4-Winback,1-Active Customer
969,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention,3-Retention
7,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer,2-Onboarding
25,4-Winback,4-Winback,4-Winback,1-Active Customer,3-Retention,3-Retention
4,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer
643,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,3-Retention
35,3-Retention,1-Active Customer,3-Retention,3-Retention,1-Active Customer,3-Retention
102,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer
137081,2-Onboarding,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,4-Winback,3-Retention,2-Onboarding,2-Onboarding
10,3-Retention,3-Retention,4-Winback,1-Active Customer,2-Onboarding,2-Onboarding
144,4-Winback,4-Winback,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer
3,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer
10,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding,3-Retention,3-Retention
875,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention
2,3-Retention,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
3915,4-Winback,4-Winback,4-Winback,1-Active Customer,1-Active Customer,1-Active Customer
2,4-Winback,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
1933,2-Onboarding,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,1-Active Customer
43211,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
25,3-Retention,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
34,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,2-Onboarding
71,3-Retention,1-Active Customer,3-Retention,1-Active Customer,3-Retention,3-Retention
12,3-Retention,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
5,3-Retention,3-Retention,3-Retention,2-Onboarding,2-Onboarding,1-Active Customer
147,1-Active Customer,1-Active Customer,3-Retention,1-Active Customer,1-Active Customer,3-Retention
1176,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding
6,4-Winback,4-Winback,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer
1006,3-Retention,3-Retention,3-Retention,1-Active Customer,1-Active Customer,3-Retention
78,2-Onboarding,2-Onboarding,2-Onboarding,1-Active Customer,3-Retention,3-Retention
19816,3-Retention,3-Retention,3-Retention,3-Retention,1-Active Customer,1-Active Customer
2,2-Onboarding,1-Active Customer,2-Onboarding,1-Active Customer,3-Retention,3-Retention
4,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer
1,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding
73,1-Active Customer,1-Active Customer,1-Active Customer,2-Onboarding,3-Retention,3-Retention
33,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention,3-Retention
3,1-Active Customer,2-Onboarding,1-Active Customer,1-Active Customer,2-Onboarding,1-Active Customer
7,4-Winback,2-Onboarding,2-Onboarding,1-Active Customer,2-Onboarding,2-Onboarding
7,1-Active Customer,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active Customer
