CNT,CLIENT_ADDVERY_SEGMENT_JUN,CLIENT_ADDVERY_SEGMENT_JUL,CLIENT_ADDVERY_SEGMENT_AUG,CLIENT_ADDVERY_SEGMENT_SEP,CLIENT_ADDVERY_SEGMENT_OCT,CLIENT_ADDVERY_SEGMENT_NOV
3,4-Winback,2-Onboarding,1-Active,2-Onboarding,1-Active,1-Active
10,2-Onboarding,1-Active,2-Onboarding,2-Onboarding,3-Retention,3-Retention
875,4-Winback,4-Winback,3-Retention,3-Retention,3-Retention,3-Retention
2,3-Retention,1-Active,1-Active,1-Active,1-Active,2-Onboarding
3915,4-Winback,4-Winback,4-Winback,1-Active,1-Active,1-Active
2,4-Winback,2-Onboarding,1-Active,1-Active,2-Onboarding,1-Active
1933,2-Onboarding,2-Onboarding,1-Active,1-Active,1-Active,1-Active
43211,4-Winback,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding,2-Onboarding
25,3-Retention,2-Onboarding,2-Onboarding,3-Retention,3-Retention,3-Retention
34,2-Onboarding,1-Active,1-Active,1-Active,2-Onboarding,2-Onboarding
71,3-Retention,1-Active,3-Retention,1-Active,3-Retention,3-Retention
12,3-Retention,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
5,3-Retention,3-Retention,3-Retention,2-Onboarding,2-Onboarding,1-Active
147,1-Active,1-Active,3-Retention,1-Active,1-Active,3-Retention
1176,3-Retention,3-Retention,3-Retention,3-Retention,4-Winback,2-Onboarding
6,4-Winback,4-Winback,2-Onboarding,1-Active,2-Onboarding,1-Active
1006,3-Retention,3-Retention,3-Retention,1-Active,1-Active,3-Retention
78,2-Onboarding,2-Onboarding,2-Onboarding,1-Active,3-Retention,3-Retention
19816,3-Retention,3-Retention,3-Retention,3-Retention,1-Active,1-Active
2,2-Onboarding,1-Active,2-Onboarding,1-Active,3-Retention,3-Retention
4,3-Retention,3-Retention,4-Winback,2-Onboarding,2-Onboarding,1-Active
1,1-Active,2-Onboarding,1-Active,1-Active,1-Active,2-Onboarding
73,1-Active,1-Active,1-Active,2-Onboarding,3-Retention,3-Retention
33,3-Retention,3-Retention,4-Winback,3-Retention,3-Retention,3-Retention
3,1-Active,2-Onboarding,1-Active,1-Active,2-Onboarding,1-Active
7,4-Winback,2-Onboarding,2-Onboarding,1-Active,2-Onboarding,2-Onboarding
7,1-Active,3-Retention,2-Onboarding,3-Retention,3-Retention,3-Retention
2,3-Retention,3-Retention,3-Retention,3-Retention,2-Onboarding,1-Active
15,2-Onboarding,1-Active,2-Onboarding,3-Retention,3-Retention,3-Retention
1,2-Onboarding,3-Retention,1-Active,3-Retention,1-Active,3-Retention
